user_answer,right_answer,score,Similarly
Saudi Arabia gets a seat at the UN Security Council,Saudi Arabia rejects seat on UN Security Council,0.56,86.96164
US drone strike kills 11 in Pakistan,US drone kills 16 in Pakistan,0.64,83.43357
20 killed in bomb attack at Pakistani base,8 soldiers killed in bomb attack in NW Pakistan,0.4,72.21565
Shenzhen stock indices close higher Monday,Shenzhen stock indices close lower -- Oct. 31,0.36,89.78758
Prince Harry pays tribute to US war dead,US presidents pay tribute to Mandela,0.08,35.65727
"15 dead in Iraq attacks, bomb at football pitch",46 dead in Iraq attack blitz,0.28,62.761116
Myanmar arrests 44 over sectarian violence,Ban Warns Syria Strikes Could Worsen Sectarian Violence,0.24,34.530895
Iran official: US visa denial to Iranian envoy will not affect nuke talks,Iranian negotiator upbeat about latest nuclear talks,0.52,56.7183
"Gov'ts, groups pledge millions for typhoon relief",Canada promises $5-million in typhoon relief,0.48,65.74546
Greece suspends state broadcaster,Greece to close state broadcaster to save money,0.84,76.76904
Guatemalan court finds former dictator guilty of genocide,Guatemala's former leader found guilty of genocide,1.0,88.90694
Beaten Florida teen released in Israel,Palestinian teen dies of wounds sustained in Israeli shooting,0.08,48.743717
"Iran, sextet to resume expert talks",Iran upbeat on 'useful' expert-level nuke talks,0.32,57.96723
"Bangladesh collapse search over; death toll 1,127",Bangladesh collapse deaths top 620,0.64,76.7892
Neymar powers Brazil into last 16,Neymar powers Brazil into World Cup last 16,0.88,96.904686
Ukraine to implement unilateral ceasefire,Ukraine offers unilateral ceasefire,0.96,93.94197
Stones add second Hyde Park concert,Rolling Stones add second Hyde Park date,1.0,85.204735
"What the Papers Say, Aug. 19, 2013","What the Papers Say, Dec. 30, 2013",0.53,95.75851
5 nations meet on haze,Putin's marriage at an end,0.0,3.5354285
"Car bomb at Swedish consulate in Libya's Benghazi, no casualties","Car Bomb Hits Swedish Consulate in Benghazi, None Hurt",1.0,90.83084
Bomber strikes near Pakistan army HQ,Bombing Outside Restaurant in Pakistan Wounds 15,0.6,64.737915
Croatia begins countdown to historic EU entry,Croatia countdowns to joining EU,0.96,85.91877
Suicide attack kills eight in Baghdad,Suicide attacks kill 24 people in Baghdad,0.48,88.08233
On War Criminals and Heroes: The Whitewashing of Ariel Sharon ŔÄ,On war criminals and heroes: The whitewashing of Ariel Sharon,1.0,98.33792
"Rogers, Videotron extend reach with network-sharing deal","Rogers, Videotron reach network-sharing, spectrum deal",0.96,89.84821
Prominent AIDS researchers killed in Malaysian plane crash,Top AIDS Researcher Killed in Malaysia Plane Crash,1.0,95.129745
Israel Forces Kill 2 Palestinian Militants,Israeli army kills Palestinian militant in raid,0.64,73.63129
Death toll 'rises to 17' after typhoon strikes Japan,Death Toll Rises to 84 in Pakistan Floods,0.24,50.501587
Protests continue in tense Ukraine capital,Protests Continue In Ukraine's Capital,1.0,92.04367
Two French journalists killed after Mali kidnapping,"Two French journalists abducted, killed in Northern Mali",0.92,93.312965
Headlines in major Iranian newspapers on Dec 14,Headlines in major Iranian newspapers on July 29,0.4,88.904434
Iran warns of spillover of possible war on Syria,"Iranian Delegation Heads to Lebanon, Syria",0.36,52.032166
Former Pakistan President Pervez Musharraf arrested again,Former Pakistan military ruler Pervez Musharraf granted bail,0.6,76.59495
US drone strike 'kills 4 militants in Pakistan',US drone strike kills 10 in Pakistan,0.76,88.09969
UK's Ex-Premier Margaret Thatcher Dies At 87,Former British PM Margaret Thatcher dies,0.8,88.034706
Polar bear DNA 'may help fight obesity',Polar bear study may boost fight against obesity,0.96,85.99972
'Fast &amp; Furious' star Paul Walker dies in car crash,"Paul Walker dead: Fast and Furious star, 40, killed in car crash",0.96,89.22725
Air strike kills one man in Syria's Hama,US drone strike kills eleven in Pakistan,0.56,33.967102
"Turkish PM, president clash over reply to protests",Turkish president calls for calm amid nationwide protests,0.52,72.28018
Strong new quake hits shattered Pak region,6.8 quake in shattered Pakistan region,0.88,87.93023
Floods in central Europe continue to create havoc,Europe floods continue to create havoc,0.92,95.242676
Luxembourg PM quits amid spying scandal,Luxembourg votes after spying row,0.44,69.496956
"3 dead, 4 missing in central China construction accident","One dead, 8 missing in Vietnam boat accident",0.08,55.456318
"US, China fail to paper over cracks in ties",China: Relief in focus as hope for missing fades,0.08,36.302887
World Cup live: France 0-0 Germany,World Cup live: Germany 0-0 Ghana,0.28,85.21349
Tokyo to host 2020 Games,Tokyo wins race to host 2020 Olympic Games,0.96,76.972176
France warns of extremists benefiting from Egypt violence,France fears extremists will benefit from Egypt violence,0.88,93.03497
British teenager killed in fall from Magaluf hotel,British teenager killed in Magaluf hotel fall,1.0,98.90671
US drone strike kills eight in Waziristan,US drone strike kills 11 in Pakistan,0.4,74.90349
Russian opposition leader under house arrest,Russian Opposition Leader Placed Under House Arrest,1.0,96.097374
Senate confirms Janet Yellen as chair of US Federal Reserve,Senate confirms Janet Yellen as next Federal Reserve Chair,1.0,97.05339
Israel confirms strike on Syria targeted weapons,Israel officials: Strike on Syria targeted weapons,1.0,90.353096
Jurors find Jodi Arias eligible for death penalty,"Jodi Arias eligible for death penalty, jury says",1.0,91.890396
Twitter reports blocking in Venezuela,Twitter says images blocked in Venezuela,0.8,78.31061
Goa building collapse death toll touches 15,Indian building collapse deaths rise to 14,0.6,70.55197
Pak religious body endorses underage marriage,CII endorses underage marriage,0.6,58.001507
"Mt Gox reveals 200,000 'forgotten' bitcoin haul","Mt Gox finds 200,000 'forgotten' bitcoins",1.0,87.567726
More than 100 injured in Texas plant blast,Hundreds believed injured in Texas fertiliser plant blast,0.8,81.20474
Redford touts Alberta economy ahead of vote on leadership,Redford addresses PC convention ahead of leadership review,0.4,56.043888
Obama holds out over Syria strikes,UK urges countries over Syria aid,0.2,44.888584
South Korean soldier reportedly flees after killing 5 comrades at border with North Korea,South Korean Soldier Kills Comrades And Flees,0.8,83.26844
Tycoon claims win in Ukraine and promises to seek future in EU,Polling stations open at Ukrainian presidential election,0.0,24.20536
Syria agrees to surrender chemical weapons,"UK's Cameron: Syria, Russia must show chemical arms proposal is genuine",0.4,66.89419
AbbVie Sours on $55B Shire Deal After Tax Changes,AbbVie cools on $55bn Shire deal after US tax changes,1.0,88.68698
Militant attack from Afghanistan kills four in Upper Dir,Militant attack from Afghanistan kills FC soldier in Balochistan,0.6,63.962017
13 killed in Afgan terror attack,6 killed in Afghan capital mosque attack,0.4,55.72121
Rev's Early Reads: March 2,"Rev.'s Early Reads: Sept. 3rd, 2015",0.4,89.74893
Pope canonizes 2 Palestinians,Sweden recognizes Palestinian state,0.0,45.605476
Funeral of Ian Paisley to take place in Belfast,Funeral of MH17 victim Liam Sweeney takes place in Newcastle,0.0,55.46038
Waba emerges new NLC president,Waiting for the next president,0.2,31.918547
5 US airstrikes target Islamic State fighters,Kurds see Turkey impeding Islamic State fight,0.2,40.978386
US Senate votes to advance Iran nuclear review bill,US scientists praise Iran nuclear deal,0.2,56.172977
Editors from around the world urge Turkey to protect media,Media freedom at stake as Turkey fights rebels,0.4,76.66825
"Philippines, Canada pledge to further boost relations",Philippines saves 100 after ferry sinks,0.0,24.458626
Israel bars Palestinians from Jerusalem's Old City,"Two-state solution between Palestinians, Israel pie in sky",0.2,57.70144
How much do you know about Secret Service?,Lawmakers from both sides express outrage at Secret Service,0.2,47.16576
Obama Struggles to Soothe Saudi Fears As Iran Talks Resume,Myanmar Struggles to Finalize Voter Lists for Sunday Polls,0.0,7.4634366
South Korea declares end to MERS outbreak,North Korea Delegation Meets With South Korean Officials,0.0,40.667904
A plane is taking off.,An air plane is taking off.,1.0,93.930336
A man is playing a large flute.,A man is playing a flute.,0.76,90.20316
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,0.76,89.2001
Three men are playing chess.,Two men are playing chess.,0.52,79.45607
A man is playing the cello.,A man seated is playing the cello.,0.85,92.86525
Some men are fighting.,Two men are fighting.,0.85,89.19878
A man is smoking.,A man is skating.,0.1,33.276836
The man is playing the piano.,The man is playing the guitar.,0.32,46.052402
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,0.44,63.537453
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,1.0,96.13066
The man hit the other man with a stick.,The man spanked the other man with a stick.,0.84,78.29395
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,0.92,96.42898
A man is playing a flute.,A man is playing a bamboo flute.,0.77,89.51709
A person is folding a piece of paper.,Someone is folding a piece of paper.,0.93,98.53217
A man is running on the road.,A panda dog is running on the road.,0.33,52.3511
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,0.75,91.12275
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,1.0,95.76957
A woman is writing.,A woman is swimming.,0.1,39.119167
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,0.76,93.39049
The man is riding a horse.,A man is riding on a horse.,1.0,94.79299
A man pours oil into a pot.,A man pours wine in a pot.,0.64,71.570816
A man is playing a guitar.,A girl is playing a guitar.,0.56,59.0129
A panda is sliding down a slide.,A panda slides down a slide.,0.92,95.02544
A woman is eating something.,A woman is eating meat.,0.6,74.259705
A woman peels a potato.,A woman is peeling a potato.,1.0,95.49217
The boy fell off his bike.,A boy falls off his bike.,0.96,93.02326
The woman is playing the flute.,A woman is playing a flute.,1.0,97.679726
A rabbit is running from an eagle.,A hare is running from a eagle.,0.84,83.375534
The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,0.84,89.9781
A girl is flying a kite.,A girl running is flying a kite.,0.8,85.87253
A man is riding a mechanical bull.,A man rode a mechanical bull.,0.8,93.49013
The man is playing the guitar.,A man is playing a guitar.,0.98,96.64143
A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,0.6,54.388977
A man is slicing a bun.,A man is slicing an onion.,0.48,60.189182
A man is pouring oil into a pan.,A man is pouring oil into a skillet.,0.84,88.23298
A lion is playing with people.,A lion is playing with two men.,0.68,78.23504
A dog rides a skateboard.,A dog is riding a skateboard.,1.0,98.025475
Someone is carving a statue.,A man is carving a statue.,0.75,91.30767
A woman is slicing an onion.,A man is cutting an onion.,0.55,72.91395
A woman peels shrimp.,A woman is peeling shrimp.,1.0,95.646164
A woman is frying fish.,A woman is cooking fish.,0.8,86.3692
A woman is playing an electric guitar.,A woman is playing a guitar.,0.72,91.5003
A baby tiger is playing with a ball.,A baby is playing with a doll.,0.32,34.22718
A person is slicing a tomato.,A person is slicing some meat.,0.35,73.61304
A person cuts an onion.,A person is cutting an onion.,1.0,97.95697
A man is playing the piano.,A woman is playing the violin.,0.2,24.764803
A woman is playing the flute.,A man is playing the guitar.,0.2,27.444214
A man is cutting up a potato.,A man is cutting up carrots.,0.47,71.224045
A kid is playing guitar.,A boy is playing a guitar.,0.76,87.038605
A boy is playing guitar.,A man is playing a guitar.,0.64,69.3177
A man is playing guitar.,A boy is playing a guitar.,0.64,69.98812
A little boy is playing a keyboard.,A boy is playing key board.,0.88,77.29943
A man is playing a guitar.,A man is playing an electric guitar.,0.75,89.465164
A dog licks a baby.,A dog is licking a baby.,0.95,95.60964
A woman is slicing an onion.,A man is cutting and onion.,0.64,70.67205
A man is playing the guitar.,A man is playing the drums.,0.31,47.569553
A woman is slicing a pepper.,A woman is cutting a red pepper.,0.79,81.79936
A man is playing the drums.,A man plays the drum.,1.0,90.75379
A woman rides a horse.,A woman is riding a horse.,1.0,97.6067
A man is eating a banana by a tree.,A man is eating a banana.,0.8,90.29191
A cat is playing a key board.,A man is playing two keyboards.,0.32,38.047306
A man chops down a tree with an axe.,A man cut a tree with an axe.,0.95,90.83545
A kid plays with a toy phone.,A little boy plays with a toy phone.,0.7,89.4032
A man is riding a motorcycle.,A man is riding a horse.,0.28,49.789722
A man is riding a motorcycle.,A man is riding a horse.,0.28,49.789722
A squirrel is spinning around in circles.,A squirrel runs around in circles.,0.8,86.02517
A man and a woman are kissing.,A man and woman kiss.,1.0,94.56912
A man is getting into a car.,A man is getting into a car in a garage.,0.77,78.388596
A man is dancing.,A man is talking.,0.12,39.99673
A man is playing the guitar and singing.,A man is playing the guitar.,0.58,79.81678
A person is cutting mushrooms.,A person is cutting mushrooms with a knife.,0.84,92.97756
A tiger cub is making a sound.,A tiger is walking around.,0.4,58.04009
A person is slicing onions.,A person is peeling an onion.,0.52,80.72896
A man is playing the piano.,A man is playing the trumpet.,0.32,53.055267
A woman is peeling a potato.,A woman is peeling an apple.,0.4,72.77849
A pankda is eating bamboo.,A panda bear is eating some bamboo.,0.84,72.96175
A person is peeling an onion.,A person is peeling an eggplant.,0.4,66.17957
A monkey pushes another monkey.,The monkey pushed the other monkey.,0.96,91.02447
A squirrel runs around in circles.,A squirrel is moving in circles.,0.88,90.52962
A man is tying his shoe.,A man ties his shoe.,1.0,90.87292
A boy is singing and playing the piano.,A boy is playing the piano.,0.6,85.84185
A dog is eating water melon.,A dog is eating a piece of watermelon.,0.85,77.7532
A woman is chopping broccoli.,A woman is chopping broccoli with a knife.,0.85,95.92043
A man is peeling a potato.,A man peeled a potatoe.,0.76,87.96
A woman is playing a guitar.,A man plays a guitar.,0.48,63.38435
A woman is slicing tomato.,A man is slicing onion.,0.32,55.767136
A man swims underwater.,A woman is swimming underwater.,0.4,60.7854
A man and woman are talking.,A man and woman is eating.,0.32,50.47493
A small dog is chasing a yoga ball.,A dog is chasing a ball.,0.8,67.624626
The men are playing cricket.,The men are playing basketball.,0.44,47.765774
A man rides off on a motorcycle.,A man is riding on a motorcycle.,0.88,89.92697
A man is playing a guitar.,A man is singing and playing a guitar.,0.72,80.11805
The man talked on the telephone.,The man is talking on the phone.,0.72,83.84056
A man is fishing.,A man is exercising.,0.1,32.304424
A man is levitating.,A man is talking.,0.16,32.276848
Two boys are driving.,Two bays are dancing.,0.12,9.081578
A man is riding on a horse.,A girl is riding a horse.,0.52,57.41639
A man is riding a bicycle.,A monkey is riding a bike.,0.4,49.90986
A man is slicing potatoes.,A woman is peeling potato.,0.44,54.989685
A woman is peeling a potato.,A man is slicing potato.,0.48,60.00844
A man is playing a guitar.,Someoen is playing guitar.,0.72,71.44523
A woman is slicing a leek.,A woman is slicing ginger.,0.44,65.23434
The man cut a paper plate.,A man is cutting a paper plate.,0.96,96.34115
The man is playing the guitar.,A man is playing the flute.,0.33,47.469364
A man is playing the piano.,The man is playing the violin.,0.35,48.616962
A woman is slicing up some meat.,A woman is breading some meat.,0.45,70.25897
A man is playing on his keyboard.,A man is playing a keyboard piano.,0.8,81.74048
The lady chopped up the green onions.,The lady cut up a green onion.,0.96,91.72117
Someone is sitring noodles in water.,A woman is boiling noodles in water.,0.64,72.45394
Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.,0.8,82.86135
A man is playing a piano.,A person is playing the piano.,0.88,87.81056
A woman is playing flute.,A woman plays on a flute.,0.92,96.849655
A boy is checking a calender.,A boy is looking at a calendar.,0.76,88.58185
A woman is cutting an onion.,A woman is chopping onions.,0.96,87.6339
A man is playing guitar.,A man plays a guitar.,0.97,97.59842
A woman is using a sewing machine.,A woman is sewing on a machine.,1.0,94.188866
A woman is flipping pancakes.,A cartoon chef is flipping pancakes.,0.51,68.814026
A man is running on the road.,A car is driving down the road.,0.2,41.552372
A man is riding on a horse.,A man is talking on a phone.,0.2,32.695496
A man is riding a bike.,A man is riding on a horse.,0.4,53.38119
A woman is dancing.,A man is eating.,0.03,-7.683873
A man is playing a piano.,A man is playing a flute.,0.4,54.6729
A man is playing a flute.,A man is playing a piano.,0.32,54.6729
A man is spinning.,A man is dancing.,0.32,60.621704
A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.,0.68,78.624954
The people got off the train.,The people got off the train at the station.,0.8,91.233315
A dog is jumping on a trampoline.,A dog bounces on a trampoline.,0.96,88.70196
A boy is playing an instrument.,A man is playing a trumpet.,0.5,47.531544
A woman plays the guitar.,A man sings and plays the guitar.,0.35,46.11084
A woman is picking a can.,A woman is slicing a tomato.,0.2,30.484537
A man is climbing a rope.,A man climbs up a rope.,1.0,89.16943
A man is lifting a car.,A man is climbing a wall.,0.28,32.341045
A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.,0.8,72.87857
The shirtless man sat in a chair.,A shirtless man is sitting on a chair.,0.76,91.575874
Two women are wrestling.,Two women are wrestling on the floor.,0.8,86.353424
The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.,0.8,87.86518
A kangroo is eating something.,A kangaroo is eating.,0.96,66.98347
A cat is playing a piano.,A man is playing a guitar.,0.12,31.813902
The man cut some carpet with a knife.,A man is cutting carpet with a knife.,0.95,96.14005
A woman is riding a motorized scooter down a road.,A man is riding a motor scooter.,0.44,58.24177
someone is slicing a vegetable.,Someone is slicing a tomato.,0.6,79.46504
A woman is dancing.,A man is talking.,0.0,-4.4771247
A dog licks up a baby's drool.,A dog licks a baby.,0.44,85.95413
A man is rowing a boat.,A man is slicing a tomato.,0.08,16.768473
A man cuts up potatos.,A man slices potatoes.,0.96,80.33556
A woman is chopping up garlic.,The woman is dicing garlic.,0.96,80.643555
An animal run in circles.,A squirrel runs in circles.,0.76,75.49769
A man is walking slowly across a rope bridge.,A boy is walking across a bridge.,0.6,64.92586
A man is playing the guitar.,A man seated in a room is playing the guitar.,0.8,70.335075
A man plays the flute.,A man is playing a flute.,1.0,98.7292
A woman cracks two eggs into a glass bowl.,A woman is cracking an egg into a bowl.,0.76,92.09673
A man is cutting a fish.,A man guts a fish.,0.6,75.12672
Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.,0.88,87.52814
A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.,0.76,84.07311
A man is slicing something.,A man is slicing a bun.,0.6,76.88553
A man is paddling a canoe.,A man is playing a harp.,0.13,20.820042
A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.,0.8,77.08033
The woman picked up the kangaroo.,A woman picks up a baby kangaroo.,0.75,90.124664
Fish are swimming.,A fish is swimming.,0.83,88.267494
Two women mix something in a food processor.,Two women make something in a blender.,0.8,76.478806
A person is surfing a large wave.,A person is surfing.,0.72,81.76026
A man is playing a guitar.,A man is stabbing a target.,0.24,21.611366
A man is playing a flute in a band.,A man is playing a guitar.,0.32,53.063305
The man spread butter on the loaf of bread.,A man is spreading butter onto bread.,0.8,91.12221
A person is boiling noodles.,A woman is boiling noodles in water.,0.8,84.76484
A group of people dance on a hill.,A group of people are dancing.,0.64,74.37261
A man is dancing outside.,A man is playing flute.,0.2,32.571636
A woman is feeding a man.,A woman is mixing meat.,0.2,35.20605
A man is putting a pan into an oven.,A woman is cutting an onion.,0.12,18.11526
A woman is sitting at a desk.,A woman is riding a donkey.,0.08,27.366352
Medics transport a patient on a stretcher.,A doctor rushes a patient on a stretcher.,0.68,74.401985
A woman is playing a flute on stage.,The woman is playing the flute.,0.72,89.67402
Two baby pandas are playing.,Two pandas are laying together.,0.6,72.437035
A baby is laughing.,A baby is laughing and giggling.,0.8,93.632416
A man is playing a guitar.,A boy is playing a piano.,0.24,29.33662
A man is folding paper.,A woman is slicing a pepper.,0.12,-1.5602016
Three women are dancing.,The man is dancing.,0.32,25.767773
The cats are playing with each other.,Two cats are fighting each other.,0.52,77.28613
A person is writing.,A person is writing with a pencil.,0.72,81.474174
A man is running.,A man is running down a road.,0.7,76.17307
The woman is rolling dough.,A woman is flouring and rolling dough.,0.75,89.428116
A woman is adding spices on a meat.,Woman is adding sugar to meat.,0.55,68.82034
A woman is adding oil on fishes.,A woman is pouring water on fish.,0.45,76.409424
A young boy is holding a guitar.,A little boy is playing a guitar.,0.55,78.95193
A cheetah is running.,A cheetah is running across a field.,0.76,88.31499
The man is eating pizza.,A man is eating a slice of pizza.,0.96,84.695435
An orangutan is riding a bus.,A monkey is riding on a bus.,0.72,66.073906
A man and a woman talk in a diner.,A man and a woman are riding on a bicycle.,0.24,39.987953
A man is playing a guitar.,A man is cleaning a glass door.,0.08,18.757193
A girl is singing and playing a guitar.,A young man is singing while playing the guitar.,0.48,61.72779
A girl is communicating with sign language.,A young girl is using sign language.,0.79,91.743935
A woman is doing weight exercises.,A woman is doing her hair.,0.1,44.24584
A man is getting inside a car.,An elderly man is getting into a red car.,0.75,64.07521
A big green ball knocks a potato over.,A large green ball hits a potato.,0.8,88.4769
A cat is playing keyboards.,A cat is playing a piano.,0.6,83.01731
Two dogs swim in a pool.,Dogs are swimming in a pool.,0.84,88.35754
The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.,0.4,69.440056
A woman slices tofu.,A woman is cutting tofu.,1.0,85.13397
A herd of deer are crossing the street.,A herd of caribou are crossing a road.,0.6,65.49198
The person is riding the horse.,A man is riding a horse.,0.76,78.78829
Someone is feeding a animal.,Someone is playing a piano.,0.0,7.7118764
Someone is slicing tortila's.,Someone is riding a horse.,0.0,4.986523
Someone is mixing ingrediants.,Someone is sewing things.,0.05,30.133167
A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.,0.8,86.06232
A woman holds a kangaroo.,A woman is picking up a kangaroo.,0.65,78.91971
A man is playing with frogs,A cat is playing with a camera.,0.15,19.213177
Two men are talking.,Two men are playing guitar.,0.3,41.828766
A man spreads butter on a big piece of bread.,A man is smearing butter on a slice of garlic bread.,0.7,71.66644
A man is running across a high wire.,A man is running on rope.,0.6,64.18743
A man is mowing a lawn.,A woman is cutting a lemon.,0.04,13.0709305
A man is opening a door.,A man is playing a guitar.,0.16,23.760471
A man is slicing a potato into pieces.,A man is cutting a potato.,0.84,86.60802
The woman is cutting cooked octopus.,A woman is chopping octopus.,0.76,86.65564
A man is punching through boards.,A dog is running through water.,0.08,0.48722526
A man is dancing.,A man is eating bread.,0.16,20.210125
Someone is playing a piano.,A man is playing a guitar.,0.24,42.914803
Two foxes are eating from a plate on a brick patio.,Foxes are eating from a plate.,0.56,86.03217
A boy is playing a key-board.,A boy is playing the piano.,0.64,60.54784
A person plays a keyboard.,Someone is playing a keyboard.,1.0,96.58744
A man is shooting a gun.,A man is spitting.,0.0,25.797325
Someone is slicing an onion.,Someoen is peeling a potato.,0.2,49.771614
A man is swimming.,A woman is slicing meat.,0.0,-3.4107049
A man is playing the guitar.,A man plays an acoustic guitar.,0.75,91.02987
A woman is slicing a pumpkin.,A woman is riding an elephant.,0.08,19.953323
A woman is dancing.,A woman is kneading dough.,0.08,28.74462
A woman is cracking eggs into a bowl.,A woman is placing skewers onto a rack.,0.12,28.798822
A car is moving through a road.,A car is driving down the road.,0.8,74.41375
Someone is greasing a pan.,Smeone is laying down.,0.08,20.538877
A man is playing guitar.,A man is draining pasta.,0.08,14.986118
A woman is drinking vodka.,A woman is exercising.,0.08,33.36593
A woman is cutting meat into pieces.,A woman is cutting up some meat.,0.96,91.351
A man is rinsing a steak.,A man is playing a guitar.,0.12,27.638288
A man is selling items.,A man is cleaning the house.,0.16,32.286198
A man is jumping a wall.,A man jumps onto a short wall.,0.64,88.08285
Runners race around a track.,Runners compete in a race.,0.64,82.184
A man is kicking a soccer ball.,A man is mixing a bowl.,0.12,18.156546
A woman is frying something.,A woman is riding a horse.,0.12,31.241018
A cat is licking a sucker.,A woman is slicing cucumber.,0.0,6.6343727
A woman is dancing by a fire.,A woman is taking a bath.,0.28,24.904013
The man is slicing a fish open.,A man is slicing a potato.,0.44,60.35365
Butter is melting in a pan.,A man is melting butter in a pan.,0.72,84.640045
Three boys are dancing.,Kids are dancing.,0.62,70.83723
A woman is playing a game with a man.,A man is playing piano.,0.12,22.615059
The man is driving a white car.,A man is giving an interview.,0.08,13.3910475
A man drove his car.,A man is driving a car.,0.85,87.3456
A car backs out of a space.,A car is backing out of a blocked lane.,0.6,68.3338
A man puts some cheese on a pizza.,The man sprinkled cheese on the pizza.,1.0,82.27045
The boy is playing the piano.,A boy plays a piano.,1.0,94.42952
The man played his guitar.,A man is playing a guitar.,0.75,91.74248
A man is riding a horse.,A man is playing a keyboard.,0.04,28.095108
A man is walking on a rope.,A man is riding a mo-pad.,0.08,29.75378
A girl is playing a flute.,A band is playing on a stage.,0.26,21.78441
People step off a train.,A group of people get off a train.,0.92,86.70966
A woman is sewing on a machine.,A woman is breading some meat.,0.12,36.570984
A dog is looking into swimming pool.,A dog is walking around a pool.,0.4,70.106735
A man is buttering a piece of bread.,A man is applying butter to bread.,1.0,89.800835
A man is cutting tomatoes into pieces.,A woman is cutting some vegetables.,0.36,52.932785
Three teenage girls danced in the room.,Some teenage girls are dancing for the camera.,0.48,67.71658
A lion is walking.,A lion is pacing in a pen.,0.48,64.72888
A man shooting a car.,A man is cutting a potato.,0.08,26.081203
A black horse is running around.,The horse is running.,0.84,79.84914
A woman is deveining shrimp.,A man is dancing in rain.,0.0,-5.9904265
A man is riding a horse.,A woman is washing a freezer.,0.0,-13.44728
A man walks down a path.,A man walks across a tight rope.,0.16,58.575558
A man is slicing a potato.,A woman is cutting a jalepeno.,0.28,33.755676
A dog is barking at a ball.,A dog swims after a tennis ball.,0.3,47.839123
A kid runs away from a fish swinging around on a fishing pole.,A little kid is running around a fishing pole.,0.5,77.60389
A man is walking along a path through wilderness.,A man is walking down a road.,0.5,62.123318
An elderly man is speaking at a podium.,A man is making a speech at the podium.,0.7,76.96213
A man riding a horse in slow motion.,A man is riding on a horse.,0.68,81.00035
A person is cutting some burrata cheese.,The person is slicing cheese.,0.76,77.93841
The man is shooting an automatic rifle.,A man is shooting a gun.,0.76,77.60006
A man is crushing garlic with the back of a knife.,A woman is slicing meat with a knife.,0.3,40.664154
A woman is filing her fingernails with an emery board.,A woman is feeding her baby with a bottle.,0.1,13.120662
A man is riding a skateboard.,A woman is cutting a potato.,0.0,-2.5831244
A woman is taking a shower.,A man is riding a white horse.,0.0,-0.1672363
A  man is dancing.,A man is riding a horse.,0.16,34.924065
A man is rowing a boat.,A man is shooting off a gun.,0.17,18.638325
A man is swinging from a rope attached to the ceiling.,A man is swinging on a rope.,0.68,86.25032
A woman is riding a horse on a beach.,A man is carrying another man on his back.,0.08,-11.872061
A man holds a small animal in one hand.,A man shows off a small monkey.,0.35,52.079918
A person is folding a square paper piece.,A man is folding paper.,0.65,84.13181
A person is frying meat in a pan.,A person is holding a skunk.,0.15,22.36774
A chimpanzee is hurting a woman.,A man is driving a car.,0.0,5.465425
The woman is peeling shrimp.,The man is holding a lemur.,0.0,2.261551
Two zebras are playing.,Zebras are socializing.,0.85,75.01083
A woman is slicing butter.,A woman slices tofu.,0.36,60.993893
Some men are playing guitars.,Three men are playing guitars and singing together.,0.64,74.18738
The elephants sprayed water on themselves.,Elephants spray themselves with water.,0.72,93.57244
A dog sat at the counter of a store.,The dog is standing at the counter.,0.52,73.20433
Someone drills a hole in a strip of wood with a power drill.,A man drills a hole in a piece of wood.,0.64,83.18736
A woman is slicing some vegetables.,The woman is dicing garlic.,0.56,41.391678
A badger is burrowing a hole.,A badger is digging the earth.,0.92,79.38394
A woman is water skiing on a lake.,A man is playing a flute.,0.0,3.9458282
A girl is playing a violin.,A baby is laughing and giggling.,0.05,9.629451
A helicopter is landing on a helipad.,A helicopter lands.,0.78,73.34732
A woman is cutting up a chicken.,A woman is slicing meat.,0.55,68.74309
A woman is cutting a cucumber.,A man is playing a guitar.,0.0,2.8357038
A woman rides an elephant in front of an adoring crowd.,A woman rides an elephant.,0.6,82.44564
A puppy is sliding backwards along the floor.,A puppy is pushing itself backwards.,0.76,77.40279
A woman splits garlic cloves.,A woman is breaking a head of garlic into cloves.,0.92,87.03162
A dog is looking into swimming pool.,A dog is walking along the edge of a pool.,0.52,66.36971
A woman mixes a beauty treatment in a glass.,A woman is mixing a cream in a glass with a spoon.,0.72,70.86211
A man is drawing a picture.,A person is drawing.,0.72,78.20594
A woman is picking tomatoes.,A woman is pouring batter into a bowl.,0.2,32.827248
