sentence1,sentence2,score
ALL of the electrical energy comes from the battery.,ALL of the electrical energy ultimately comes from the alternator.,0.48
Do you know how many passengers testified or what they said?,How many passengers said they saw an iceberg?,0.48
Imagine a place with % men and % women.,Imagine a place that's % white and % black.,0.32
Scenario A assumes that the CO growth rate accelerates by .%/yr.,It assumes that methane growth rate accelerates by .%/yr.,0.35
They have actually showed a cooling trend since  due to the recent decline.,get a cooling trend from  because of the recent decline.,0.92
We are all vessels filled with many wonders.,Landon Memory from CATS We are all vessels filled with many wonders.,0.6
to repeat: They are NOT as sovereign as they were before.,They are NOT as sovereign as they were before.,0.9
"Out of touch and completely untrustworthy, however, wouldn't.",Out of touch and untrustworthy?,0.85
It is mostly just the Dutch.,"In fact, it's just the Dutch.",0.72
"We're talking about angels and common pins again, right?","@Lustig Andrei, We're talking about angels and common pins again, right?",0.96
claims about trayvon's character And when did I do that?,slanted blogs And when did I do that?,0.52
% How much money does PP take in for abortion services?,How much is spent on abortions services?,0.52
Why did that transaction take place.,Did the transaction take place?,0.48
There is no more egg cell post-fertilization.,There is no more sperm cell.,0.48
Lacey - welcome back!,"Anyway, welcome back.",0.8
"More factchecking: I don't know why anyone is making a fuss over the $, bet.","I don't know why anyone is making a fuss over the $, bet.",0.88
"If you haven't made any claims, then just say so.",I haven't made any claims.,0.48
No Thatcherite can ever call themselves a libertarian.,Ergo it offends me when Thatcherites call themselves libertarian.,0.48
the problem isn't who has money.,the problem is who doesn't have money.,0.49
But do you actually believe there was an iceberg in those waters?,I don't believe there was any iceberg at all anywhere near the Titanic.,0.56
not astros or orioles bad Gameday for the orioles game is frozen for me.,Gameday for the orioles game is frozen for me.,0.6
"If so, alot of cops should take presciption drugs.","If so, alot of inventors, writers should take prescription drugs..",0.48
Tell us what the charges were.,Yes what are his charges.,0.8
Those are partial psychopaths.,Was Ted Bundy a partial psychopath?,0.36
those who ignore history are doomed to repeat it.,ooo strike TWO those who ignore history are doomed to repeat it.,0.84
this is NOT a war deployment.,its not an official deployment.,0.48
Nutrax The plural of anecdote is not data Did gentlemen need chaperones?,Nutrax The plural of anecdote is not data,0.72
Alright just got in.,not well Alright just got in.,0.8
h and i both read the books and thought the movie moved so quickly.,"I haven't read the books, but I saw the movie today.",0.6
"That's not the Moloch scene, though.",This is the Moloch scene.,0.48
"@Lustig Andrei, So Lyndon Johnson and John Kennedy were compatible?","@edgarblythe, So Lyndon Johnson and John Kennedy were compatible?",0.88
You need to make up your mind.,You need to polish up on your logic skills.,0.12
The one that has  walks home afterwards and goes to sleep.,The one that has three walks home and beats his wife.,0.28
- Admin DrPizza and i'd forgotten what a whiny little bed wetter you are.,and i'd forgotten what a whiny little bed wetter you are.,0.76
"The argument was ""Albert Einstein didn't go to college"".","OMG, ""Einstein didn't go to college.""",0.84
"Capital gains, top rate:  percent.","Income tax, top rate:  percent.",0.48
Bienging is unaccptable.,Being drunk is unacceptable.,0.2
He hasn't been funny in years.,He hasn't been funny since Larry Bud Melman was on the show.,0.68
"If the universe has an explanation of its existence, that explanation is God.","Therefore, the universe has an explanation of its existence.",0.48
What do we get in return for doing the fighting for them?,------ ----------- What do we get in return for doing the fighting for them?,1.0
It wouldn't stop joke marriages.,And I don't fight for marriage.,0.24
"If they were Jews, I would call them Jews.","If they were Catholics, I would call them Catholics.",0.44
She was a great lady.,She was a nice lady.,0.8
He's not wealthy because he's successful.,Why hate people because they are successful?,0.16
Not as irritated as you.,You seem as irritated as Henry.,0.35
It's a common sense/deductive reasoning thing.,Hilited your common sense/deductive reasoning thing.,0.5
You already did that - we have a Muslim in office right now.,-CryptoLutheran No. We have a Christian in office right now.,0.16
I said she has not ever had to be a part of any workforce.,Ann Romney has never had to get out and be a part of the workforce.,0.68
DreamTech never been ejaculated on as far as I know.,It has never been ejaculated on as far as I know.,0.6
I didn't say we had gotten soft since / Rand.,I said YOU had gotten soft.,0.24
We all believe that we are getting what we expect.,"Most times, % of the time, we are getting what we expect.",0.76
"Despicable Ben, Stop trying to find excuses for the man.","Ben, Stop trying to find excuses for the man.",0.88
Unless it's different in different countries?,"So, short form, yes, it probably is different in different countries.",0.72
The new study does not support your claim.,The physical evidence does not support your claim.,0.44
He said at EVERY level.,But he said EVERY level.,0.92
"morals do not exist, so technically nothing can be morally wrong.",I ask again if God does not exist can anything be morally wrong?,0.44
I thought that was mostly just the Dutch.,It is mostly just the Dutch.,0.8
Toyland by Johnny Mathis We are all vessels filled with many wonders.,Eye of the Tiger We are all vessels filled with many wonders.,0.64
Let's let this play out in court.,Nothing is stopping this thing from playing out in court.,0.76
Being in a gang isnt a crime.,Commiting a crime in a gang is a crime.,0.36
I'd offer Iran a deal.,Chuck I'd offer Iran a deal.,0.84
"Yes, they are both different.",Opinions are different.,0.24
It's not imposing morals.,It's imposing a law.,0.22
Has Annie ever used her sexuality like that?,One word: Zombies Has Annie ever used her sexuality like that?,0.76
PURE COMMUNISM: You have two cows.,LIBERTARIAN/ANARCHO-CAPITALISM: You have two cows.,0.48
You should put scientists on a pedestal.,Why do people like you put scientist on a pedestal?,0.68
What are they trying to hide?,I then asked: What are they trying to hide?,0.72
That would make you partially responsible for their death.,"That would make you a sort of accessory, I think.",0.6
"""Would you like to pay for others health care?""","""Would you like to wear your seatbelt?""",0.0
They are NOT as sovereign as they were before.,to repeat: They are NOT as sovereign as they were before.,0.88
I don't see Obama as the lesser of two evils.,I don't see him as evil at all.,0.4
Or this one by Jim Croce We are all vessels filled with many wonders.,We are all vessels filled with many wonders.,0.64
The point is an unarmed child was murdered.,The point is an unarmed child was murdered who was black.,0.68
"Zimmerman replied, ""What are you doing here?""","Martin said, ""Why are you following me?""",0.18
Irreligion that does that I have a problem.,Religion that doesn't do that I don't have a problem with.,0.32
"If I'm angry, it will show up in one of those scans..","If I'm hyper active, it will show up in one of those scans..",0.64
"If you want to buy $ billion in XYZ Inc. common stock, who cares?","If you want to buy a house or a SUV, again, who cares?",0.28
 billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",0.31
If you answer yes to  and no to  you are probably straight.,If you answer no to  but yes to  then you are probably straight.,0.62
Sometimes I fantasize about having power.,"Sometimes I, too, fantasise about bending people before my demented will.",0.84
My parents have told me it is bad for you.,My Sheriff has told me its bad for you.,0.56
Atlas Shrugged It's also a stellar performer in terms of blithering idiocy.,It's also a stellar performer in terms of blithering idiocy.,0.72
How would Martin not know that that was not the case?,How would Martin or anyone else know his intentions based on his actions?,0.48
Regulation get the government into everything.,"""Get the government into everything?""",0.48
It's a common sense/deductive reasoning thing.,Hilited your common sense/deductive reasoning thing.,0.5
"Yes, I've assumed that all packaging would be recyclable in my argument.",I've assumed this as well in my argument.,0.56
Jury nullification does not mean that a law is unconstuitutional.,Jury nullification means a law isn't Constitutional?,0.72
It's just a bunch of cells.,"I'm ""a bunch of cells.""",0.44
Mann's work was all about math.,Mann's work and the HS was all about Tree rings.,0.32
I'm so sorry to hear this Kelly.,"I'm so sorry, Kelly.",0.8
I don't like flavored beers.,I don't like many flavored drinks.,0.6
I hope everything is ok!,I hope your LO is ok.,0.32
any woman that wants birth control can get it.,Any woman that wants and abortion can get one.,0.32
S As you wish: Do you see Hitler killing Jews?,Do you see Hitler killing Jews?,0.92
And I'm your friend Mitt.,Your good friend Mitt.,0.8
It means its AN option.,Doesnt mean its a BAD option.,0.32
I think you need to reread what I wrote.,You need to reread what I wrote.,1.0
lets assume we have % white and % black.,Imagine a place that's % white and % black.,0.76
"Mom busted in and said, ""What's that noise?""",My kids busted in and said 'whats that Dad?',0.36
"My best, Kutte My ex-fiance wouldn't use the VA or Navy doctor's.",Jay My ex-fiance wouldn't use the VA or Navy doctor's.,0.72
Holder filed a three-page letter.,The Judges orders a three-page letter to be filed.,0.56
"@Lustig Andrei, Lustig, agreed.","@Lustig Andrei, Thank you, Lustig.",0.44
This eclipses the old record of  set in .,This breaks the daily record of  set in .,0.96
"Zimmerman replied, ""What are you doing here?""","Martin said, ""Why are you following me?""",0.18
"I don't know how legitimate this is, but I heard he's kind of suicidal.","So, I don't know how legitimate this is but yeah.",0.32
council tax Hasn't council tax been frozen for most people?,Hasn't council tax been frozen for most people?,0.96
Your schtick is getting stale.,Your misogyny is getting messy.,0.08
Is that how it works?,"Nah, that's not how it works.",0.32
"Breathe In, Breathe Out, Move On.","buwhahahaha Breathe In, Breathe Out, Move On.",0.88
wait until they become more consistent and closer together.,wait for the contractions to get stronger and closer together.,0.76
Obama is extreme and leftwing.,Obama is part of the extreme leftwing.,0.96
"@Frank Apisa, What you want to call it is up to you.","@Cyracuz, What you want to call it is up to you.",0.5
Jury nullification has NOTHING to do with the Constitutionality of laws.,Jury nullification means a law isn't Constitutional?,0.52
What conviction where you talking about before?,What conviction would that be?,0.88
So I actually read the OP and guess what I found out.,Furthermore I found this: So I actually read the OP and guess what I found out.,0.92
The government does not determine if you are married or not.,The government doesnt have to declare you married before you can be married.,0.72
Democracy is a threat to liberty.,Democracy has nothing to do with liberty.,0.36
Hi Pro and Corn: How many threads do you plan on making?,How many threads do you plan on making?,0.8
Tell me exactly which system isn't working right now?,So which system isn't working for us?,0.8
"Oh, and again asserts that marriage is a fundamental human right.",Particularly after stating that marriage is a fundamental human right.,0.8
Why are Russians in Damascus?,Russians in Damascus!,0.84
"Yes, it's about dilution.","Er, that's not how dilution works.",0.36
"Yeah, I don't think this is that controversial either.",I don't think what she's saying is that controversial.,0.76
Operation Chaos is merely people voting.,Chaos is merely people voting.,0.8
Originally Posted by JonD Doubtful.,Originally Posted by eleanor.ellis,0.24
Classical Gas We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.,0.6
to repeat: They are NOT as sovereign as they were before.,They are NOT as sovereign as they were before.,0.9
Morals have absolutely nothing to do with it !,and morals and honesty have everything to do with it.,0.4
i be having conversations will cornell west My dear brother.,i be having conversations will cornell west What the hell is this?,0.6
There is no war in the Middle east.,"There is no ""WAR"" in the middle east.",0.92
He had no intention of apprehending him.,- I didnt say he planned on apprehending him.,0.48
We are all vessels filled with many wonders.,Put a Little Love in your Heart We are all vessels filled with many wonders.,0.72
"You're ""a bunch of cells.""","I'm ""a bunch of cells.""",0.48
What is a girl douche?,You are a girl douche.,0.28
Jury nullification means a law isn't Constitutional?,No. Jury nullification does not mean that a law is unconstuitutional.,0.4
It's definitely NOT what it used to be.,voted Voted It's definitely NOT what it used to be.,0.8
The onus is on the manufacturer of a product to convince consumers it is safe.,The manufacturer has to convince the government it's safe.,0.68
I think you are missing the point with entrepreneurs.,Again I think you are missing the point on the Twain quote.,0.16
"""Cyclopes don't exist"" - fine.","""Goblins don't exist"" - fine.",0.32
"""In  it was a mental illness, now what are they teaching you?""","He stated that it was a mental illness in , how is that bigotry?",0.32
Landon And So This is Christmas We are all vessels filled with many wonders.,Play With Fire We are all vessels filled with many wonders.,0.36
Bush gets zero credit for the budget under him.,"And, Obama gets zero credit for the budget under him.",0.36
. Sinful people do not get to heaven.,Or sin is removed upon entry to heaven.,0.36
How long after the obliteration should the kid return to school?,How long after the obliteration should it no longer bother the kid?,0.6
Holly Holy We are all vessels filled with many wonders.,Say What You Will We are all vessels filled with many wonders.,0.76
"What was the ""answer"" in Chicago?",What will be the response in California?,0.24
The entire thing just makes no sense.,See that makes no sense.,0.84
Who supposedly operated the homicidal gas chambers?,Refresh your memory: Who supposedly operated the homicidal gas chambers?,0.96
"Therefore, the explanation of the existence of the universe is God.","If the universe has an explanation of its existence, that explanation is God.",0.72
Genetic predisposition to cancer resistance is superior genetics.,Genetic predisposition to Alzheimer is inferior genetics.,0.28
Do you notice the nonsensical things you are saying?,"And to be fair, do you notice the nonsensical things you are saying?",0.91
Use of force in defense of person.-A,Use of force by aggressor.,0.24
That's what the data available shows.,That's what the historical record shows.,0.72
Joy to the World We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.,0.6
I thought that was mostly just the Dutch.,"In fact, it's just the Dutch.",0.52
Ive watched kids play.,I like watching kids play.,0.44
"David @OmSigDAVID, I think Santorum's more likely than Gingrich.","@sozobe, I think Santorum's more likely than Gingrich.",0.96
They're looking at each other!,Why are they looking at each other like that ?!?!,0.56
Are you driving one?,Are you driving a fucking Volt?,0.52
Religion that does that I have a problem with.,Irreligion that doesn't do that I don't have a problem with.,0.28
I think he'd be better for American business interests overall.,Would he be better for American society?,0.32
not a constitutional issue.,"again, this is not a constitutional issue.",0.88
YOU FOOLS..bought the  cover-up..hook..,Hi Eots: YOU FOOLS..bought the  cover-up..hook..,0.84
"""What does pressing the number one do?""","""Pressing the number one does English.""",0.32
What conviction would that be?,What conviction where you talking about before?,0.88
"Originally Posted by spikdboy Not wishful thinking, rather realistic.","Originally Posted by objectivism Not wishful thinking, rather realistic.",0.76
"For the trillionth time, I've never said rehabilitation doesn't work.","The point you quote should say ""I never said rehabilitation could never work.""",0.68
Charlie Rangel Censured Did anyone see the footage of this?,Did anyone see the footage of this?,0.6
Red October standing by.,Red Fox standing by.,0.4
That's just not how legal briefs are written.,That just isn't how legal reasoning works.,0.64
"No, none of those factors account for the recent warming.","You don't know if those factors account for the warming, or not.",0.6
Stone notified Captain Lord.,He too notified Captain Lord.,0.68
"The primary focus of Systematic Dialectics is syn chronic, not dia chronic.","Thus, Meta - System - atic Dialectic is Diachronico - Synchronic Dialectic.",0.44
Are you driving one?,Are you driving a fucking Volt?,0.52
And that is happening in GOP controlled states.,Michigan IS a GOP controlled state.,0.16
in  Foxe basin was frozen., Foxe was mostly frozen.,0.84
"@Frank Apisa, Frank, I observe and perceive.","@cicerone imposter, Frank, I observe and perceive.",0.84
"Government deciding what pregnancies need to be carried to term, that's fine.","Government spying on its own citizens, that's fine.",0.24
Put a Little Love in your Heart We are all vessels filled with many wonders.,Landon And So This is Christmas We are all vessels filled with many wonders.,0.56
Higher than  per cent but not very high.,Lower than  per cent but not very low.,0.2
What isn't how what was sold?,"It's not how it was sold, gb.",0.32
God definately does not exist.,God probably does not exist.,0.52
"Breathe In, Breathe Out, Move On.","buwhahahaha Breathe In, Breathe Out, Move On.",0.88
It is an excellent indicator of climate change.,I think we all agree on the nature of the change.,0.4
The great thing about living here is there's space.,The bad thing is there's space.,0.36
"Ah ha, ha, ha, ha, ha!","Ha, ha, ha, ha, ha, ha!",0.9
I don't understand how freedom of speech will be prohibited.,Your freedom of speech will be no more prohibited than it is today.,0.76
The question needs to be asked.,It is a question that needs to be answered.,0.64
You purport to value life very heavily.,I purport to value human life very highly.,0.56
The Infestation posts.,The mosquitoes posts.,0.36
i don't want a president who 'cares'.,don't want a president that is compassionate.,0.92
do you have anything to make it less compelling or not?,Do you have anything to make it more compelling?,0.48
"For the trillionth time, I've never said rehabilitation doesn't work.","The point you quote should say ""I never said rehabilitation could never work.""",0.68
Classical Gas We are all vessels filled with many wonders.,Time of the Season by the Zombies We are all vessels filled with many wonders.,0.48
peeve So we agree that it came down essentially in freefall?,Do we agree that they came down essentially in freefall?,0.8
Pro-life people do not want a woman to be able to choose abortion for herself.,Pro-choice people do not try to force an abortion on anyone.,0.2
So answer the question.,Stop avoiding the question.,0.68
Haiti is a shithole.,Haiti has been a shithole.,0.84
I absolutely do believe there was an iceberg in those waters.,I don't believe there was any iceberg at all anywhere near the Titanic.,0.24
The Face Of The Franchise: The worst part is that he's not even a Leafs fan!,The worst part is that he's not even a Leafs fan!,0.88
I agree completely I am hoping he is into a second term of office.,I am hoping he is into a second term of office.,0.8
Jake with the assist.,Voracek with the goal.,0.08
Is it possible his home was affected and the school was not?,"Sure, it is possible his home was affected, but not the school.",0.64
The people had awakened.,Because the people had awakened.,0.84
Umm the California was a cargo ship I dont care what the article says.,The California was a cargo ship.,0.8
"Umm, that pretty clearly states, ""the statute is presumed constitutional.""","And until they decide that, ""the statute is presumed constitutional.""",0.52
Florida The ignorance is yours!,The ignorance is yours!,0.68
I'm going to shout for justice for Trayvon.,The people shouting for justice for Trayvon are all hypocrites.,0.32
How do you know what's right and wrong?,How do you know which story is the right one?,0.44
"Ha, ha, ha, ha, ha, ha!","Ah ha, ha, ha, ha, ha!",1.0
And Nugent was a complete fool to say what he said.,Natalie was a complete fool to have insulted their fan base.,0.12
It is all Bush's fault.,Obama is Bush's fault.,0.24
You should stop prefixing or suffixing everything with you hate Jews.,"I don't prefix or suffix everything with ""you hate Jews.""",0.48
I missed the point where he said that black people were going to riot.,"Never, did I ever, did I say blacks were going to riot.",0.48
Yet you didn't have to declare it.,And you didn't have to.,0.4
Proverbs  John the Baptist was a Nazarite from birth.,John the Baptist was a Nazarite from birth.,0.92
James : says faith without works is dead.,Paul did not preach faith without works.,0.44
 billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",0.31
and videos Seismic data does not equal duration of collapse.,Seismic data does not equal duration of collapse.,0.92
Originally Posted by Lone Fox You've said that multiple times now.,Originally Posted by Lone Fox And it's not all Iranian related either.,0.44
"You might not like Obamas views, but he has them.","You might not like the positions he holds, but atleast he has them.",0.52
But do you actually believe there was an iceberg in those waters?,I absolutely do believe there was an iceberg in those waters.,0.6
There is simply no winning for Obama among conservatives.,This is rich coming from a conservative.,0.28
Satan represents indulgence instead of abstinence!,. Satan represents vengeance instead of turning the other cheek!,0.32
Just so long as the tax on that sale is paid.,Just so long as the tax is paid.,0.76
fix?: Islam itself is not political.,Islam has always been political.,0.24
March  is also the date for the uprising in CHINA.,Originally posted by Vitchilo March  is also the date for the uprising in CHINA.,0.8
I hope everything is OK!,I hope everything is okay.,1.0
Do you understand why it's absurd to limit the question to US residents?,Do you understand why non-US residents are also relevant to the statistics?,0.64
I have seen UFO over Warsaw in the past.,"Respectfully submitted, Steve I have seen UFO over Warsaw in the past.",0.8
depending on which action furthers their loony-tunes agenda of the moment.,depending on which action furthers their lonny-tunes agenda.,0.92
Do you further agree that I have made no claim?,So that you will admit and verify that I have made no claim.,0.76
Zimmerman says that he was sucker punched by his car.,"His ""friends"" say that he was confronted by his car.",0.48
"There is no ""WAR"" in the middle east.",There is no war in the Middle east.,0.92
Part of pro-life is the opposition to legalized abortion.,"Pro-life also refers to just ""opposition to abortion"".",0.76
"Capital gains, top rate:  percent."," - Income, top rate:  percent.",0.56
Time of the Season by the Zombies We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.,0.56
"No, I show you are willfully ignorant.","LOL, you are so ignorant.",0.8
We are all vessels filled with many wonders.,Jingle Bell Rock by Bobby Helm We are all vessels filled with many wonders.,0.6
the problem isn't who has money.,the problem is who doesn't have money.,0.49
Sadly Ford did accept taxpayer money.,Ford didn't accept taxpayer money to save the company.,0.56
The Muslims would say the same thing about the Qur'an.,The Hindus would say the same thing about the Bhagavad Ghita.,0.2
Your confusion doesn't make me a liar.,Then your confusion doesn't make me a liar either.,0.76
When Christians are extreme its just simply religion.,When Muslims are extreme it's terrorism.,0.32
Some believe the 'right' is most important.,Some believe not slaughtering the unborn is most important.,0.24
"Evolution is not an opinion, not a belief.","Atomic theory is not an opinion, not a belief.",0.32
I am not the one claiming the right to decide over another woman's body.,You want others to decide over a woman body.,0.56
Where in the world is Ron Paul?,Where in the world is the MEDIA??,0.16
you have no remains of a missile at the pentagon.,you have no remains of an A- at the pentagon.,0.48
"The point you quote should say ""I never said rehabilitation could never work.""","For the trillionth time, I've never said rehabilitation doesn't work.",0.68
 billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",0.31
my hair is pretty thing tho :/ Quote: Ditto.,my hair is pretty thing tho :/ woops!,0.76
It wouldn't stop joke marriages.,And I don't fight for marriage.,0.24
You seem to think that poor people are not responsible for their actions.,People are responsible for their actions.,0.32
Why did that transaction take place.,Did the transaction take place?,0.48
It's about the baggage attached.,It's not the same thing.,0.0
We are all vessels filled with many wonders.,Put a Little Love in your Heart We are all vessels filled with many wonders.,0.72
the problem isn't who has money.,the problem is who doesn't have money.,0.49
What makes you think the owl didn't participate?,It doesn't say that it didn't participate.,0.32
lol Looking forward to seeing your built-in's!,Look forward to seeing it!,0.36
Originally Posted by jacko!,Originally Posted by IZZY!,0.24
Thanks Candy for starting the thread.,Candy - Thanks for starting us off today.,0.96
Except that it wasn't.,Except that they couldn't.,0.2
"If I owe you , dollars, I have a problem.","If I owe you a trillion dollars, you have a problem.",0.44
If evidence is not provided to support a position; then it should be rejected.,If a position is unverifiable; then it should be rejected.,0.96
Everyone else at the current prosperity level of Mexico.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",0.28
Bush gets zero credit for the budget under him.,"And, Obama gets zero credit for the budget under him.",0.36
LOL Don't you have to take a test to drive a vehicle in the US?,Is there a test to own a firearm in the US?,0.16
We both thought the movie was good and we didn't find it confusing in any way.,"I thought it was good, and I didn't find it confusing.",0.64
If God does not exist can anything be morally wrong?,I ask again if God does not exist can anything be morally wrong?,1.0
A law is constitutional if it does not conflict with the Constitution.,To be unconsititutional means to violate the constitution.,0.72
Originally Posted by muslim girl ooops sorry!,Originally Posted by muslim girl its not a complete impossibility.,0.24
This is not your country.,This is our country.,0.28
Originally Posted by zaf I suppose the water in the middle makes a difference.,"Originally Posted by zaf in the long term, yes.",0.2
Cone threw an  game.,Addie Joss Cone threw an  game.,0.84
Edited by LashL: Edited to properly mask profanity.,Edited by LashL: Edited to properly mask profanity in quoted post.,0.96
The jury is not told about juror nullification.,The quote you provide has nothing to do with jury nullification.,0.32
runs victim down Got any proof?,paranoid Got any proof?,0.2
"you don't use the search button much, do you?","you don't use the search button AT ALL, do you?",0.84
I don't think Paul has a shot.,Paul doesn't have a shot.,0.72
Time of the Season by the Zombies We are all vessels filled with many wonders.,Joy to the World We are all vessels filled with many wonders.,0.64
Do you notice the nonsensical things you are saying?,"And to be fair, do you notice the nonsensical things you are saying?",0.91
What if they messed up a study?,What if they had a personal bias?,0.2
Specifically a Baptist.,Specifically Gnostic.,0.24
And a large part of the east coast.,And parts of the west coast.,0.16
Why are you talking about women within the Hebrew tribes?,We were talking about women as war bounty were we not?,0.28
Last night Japanese forces attacked Hong Kong.,Last night Japanese forces attacked the Philippine Islands.,0.52
". What is your definition of ""life force""?","What is your definition of ""soul""?",0.72
That is not direct responsibilty to the constituents.,Aye but they ARE responsible to their constituents.,0.52
"The ideology was built around violent expansion, so yes - VIOLENT expansion.",The ideology was built around violent expansion and race superiority.,0.8
Could this have been an enema?,"@ossobuco, Could this have been an enema?",0.92
my final word: ignoring has the effect of normalizing.,taking advantage has the effect of reinforcing.,0.08
The problem likely will mean corrective changes before the shuttle fleet starts flying again.,He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.,0.88
"SEC Chairman William Donaldson said there is a ""building confidence out there that the cop is on the beat.""","""I think there's a building confidence that the cop is on the beat.""",0.68
"Myanmar's pro-democracy leader Aung San Suu Kyi will return home late Friday but will remain in detention after recovering from surgery at a Yangon hospital, her personal physician said.","Myanmar's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery, her personal physician said Friday.",0.92
"Darren Dopp, a Spitzer spokesman, declined to comment late Thursday.","John Heine, a spokesman for the commission in Washington, declined to comment on Mr. Spitzer's criticism.",0.28
"In afternoon trading in Europe, France's CAC-40 advanced and Britain's FTSE 100 each gained 0.7 percent, while Germany's DAX index rose 0.6 percent.","In Europe, France's CAC-40 rose 1.3 percent, Britain's FTSE 100 declined 0.2 percent and Germany's DAX index gained 0.6 percent.",0.4
Sens. John Kerry and Bob Graham declined invitations to speak.,The no-shows were Sens. John Kerry of Massachusetts and Bob Graham of Florida.,0.72
Page said it's also possible that genes on the Y chromosome may influence gender-specific differences in disease susceptibility.,He added that genes on the Y might play a role in influencing gender-specific differences in disease susceptibility.,0.88
One of the most well studied facets of temperament is how people respond to novelty.,One of the defining and well-studied characteristics of temperament is how people react to novelty.,0.96
"But butterflies exposed to an earlier light cycle, from 1am to 1pm, orientated themselves towards the south-east.","But butterflies housed under an earlier light cycle, 1 a.m. to 1 p.m., flew toward the southeast.",0.92
"Dunlap won both the swimsuit competition and the talent portion of the competition, singing ""If I Could.""","She won the talent portion singing ""If I Could"" and also won in evening wear.",0.56
"South Asia follows, with 1.1 millions youths infected — 62 percent of them female.","Of the 1.1 million infected in south Asia, 62% are female.",0.8
"An hour later, an Israeli helicopter fired missiles at a car in Gaza City, killing two Hamas officials and at least five other people.","An hour later Israeli attack helicopters rained missiles on a car in Gaza City, killing seven people, Palestinian sources said.",0.85
"AAA spokesman Jerry Cheske said prices may have affected some plans, but cheap hotel deals mitigated the effect.","AAA spokesman Jerry Cheske said prices might have affected some plans, but cheap hotel deals made up for it.",1.0
"She countersued for $125 million, saying Gruner & Jahr broke its contract with her by cutting her out of key editorial decisions.","She countersued for $125 million, saying G+J broke its contract with her by cutting her out of key editorial decisions and manipulated the magazine's financial figures.",0.7
"The Standard Edition is $15,000 per processor or $300 per named user.",The Standard Edition One is a single processor version of the Oracle Standard Edition Database.,0.5
Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year.,"Microsoft acquired Virtual PC from its developer, Connectix, earlier this year.",0.88
"Leon Williams' body was found inside his third-floor apartment at 196 Bay St., in Tompkinsville.","The dead man, Leon Williams, was found in his third-floor apartment.",0.68
It's the first such drill since the September 11 terrorist attacks on New York and Washington.,It is the nation's first large-scale counterterrorism exercise since the Sept. 11 terrorist attacks.,0.8
"Ursel Reisen confirmed it operated the coach, but gave no details other than to say the passengers were of mixed ages.","Ursel Reisen confirmed it had been operating the coach, but declined to give details of the passengers other than to say they were of mixed ages.",0.96
"A total of 17 cases have been confirmed in the southern city of Basra, the Organization said.",A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.,0.72
He was also expected to visit Yemen and Bahrain during his tour of the region.,"Khatami, who arrived in Beirut Monday, was also to visit Syria, Yemen and Bahrain.",0.68
"General Myers told reporters that ""at first blush, it doesn't look like any rules were broken"".","""At first blush, it doesn't look like any rules were broken,"" said Gen. Richard Myers, chairman of the Joint Chiefs of Staff.",0.72
"Proving that the Millville son's sacrifice would not go unsung, Mayor James Quinn ordered all city flags flown at half-mast for the next 30 days.","In Millville yesterday, Mayor James Quinn ordered all city flags flown at half-staff for the next 30 days.",0.68
"Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said that scenario is one among many that investigators are considering.","Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said investigators are considering the scenario.",0.85
They found molecules that can only be produced when ozone breaks down cholesterol.,And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.,0.85
It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.,"And it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre.",0.77
"Earlier this month, RIM had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share.",Excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share.,0.24
"""For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents,"" according to extracts released yesterday.","""For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents,"" Mrs Clinton writes.",0.64
"In 2001 and 2002, wire transfers from 4 of the company's 40 accounts totaled more than $3.2 billion, prosecutors said.","Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.",0.76
"Stony Brook University launched the study in 1996, after earlier studies indicated a possible connection between electromagnetic fields and cancer.","The State University at Stony Brook launched the study in 1996, after earlier studies indicated a possible connection.",0.64
